polynomial_order,maxh,elements,degrees_of_freedom,l2_error,relative_l2_error,weighted_energy_error,relative_weighted_energy_error,free_dof_relative_residual_norm,axis_radius_error,axis_flux_relative_error,major_radius_error,minor_radius_error,elongation_error,triangularity_error
1,0.1,520,294,0.0009838273250057823,0.01232100807651736,0.038820907161719556,0.091059104761378,1.600873023618624e-15,0.024906170729127264,0.002261124087061527,0.0024120032361000243,8.850200960275334e-05,0.0019541952199053636,0.05057093842838303
1,0.05,2000,1066,0.00026492059507174907,0.003317745613027798,0.020087659867470995,0.04711802113904885,5.934088413540702e-15,0.000810961624090667,0.00028038687017042707,0.0006197120954516411,0.00018834852687521497,0.0007761078999699578,0.016639792802385145
1,0.025,7840,4050,6.877770338914037e-05,0.000861340824150145,0.010221334602900586,0.02397536911049836,2.423571792098119e-14,0.009749570884451941,0.0004553087688501083,0.00019887492592640665,3.9236593308289436e-05,0.00025830871991794346,0.0025246917042745093
2,0.1,520,1107,1.4345582165605261e-05,0.00017965757733322534,0.0012362014027947857,0.0028996590052447983,1.4687150461336791e-15,0.0003566823012820519,0.0001730588288628768,5.9870502012948634e-05,2.2005055273999208e-05,0.00013770769095700075,0.0013896914604822064
2,0.05,2000,4131,1.987281768515885e-06,2.4887817300720046e-05,0.00033096230900622135,0.0007763118837568663,6.1584854384476744e-15,0.0005078375349613085,3.295239609911464e-06,7.827538013982505e-06,3.42888368876082e-06,3.232085158400011e-06,0.00013192500073830327
2,0.025,7840,15939,2.620771090140048e-07,3.2821350807804672e-06,8.571233813784542e-05,0.00020104859336035635,2.356659743016957e-14,6.17944725652686e-05,1.6318664154939738e-06,1.1086135320859114e-07,2.3593160464185914e-07,1.5748370849610893e-06,0.0001663463990457109
3,0.1,520,2440,7.65688775424807e-08,9.589139624732833e-07,1.234644036735156e-05,2.896006015926854e-05,1.9345939734829714e-15,1.9416655162585172e-06,3.343188820627394e-07,1.3918554730985022e-07,1.9761674180385214e-07,1.2822270207824005e-06,1.903817963957999e-05
3,0.05,2000,9196,5.572949574296299e-09,6.979309780252957e-08,1.8374950109285e-06,4.310065450084065e-06,6.1607412262037566e-15,2.9528481260143735e-06,8.860227049850643e-08,4.6254255980926473e-10,1.3352589034454354e-09,5.518765933132386e-08,2.49988601065676e-06
3,0.025,7840,35668,3.758271475234081e-10,4.706689072681767e-09,2.485655754948195e-07,5.830404396467625e-07,2.3866296767491352e-14,3.9067251211832854e-08,1.0881193960902438e-10,2.7849237360655366e-09,2.6053447177432076e-09,4.549099541506507e-09,3.783541605295593e-07
