maxh,elements,relative_l2_error,boundary_geometry_error,free_dof_relative_residual_norm
0.38,126,0.003088042331418735,0.0003388055472687522,1.0983717586103458e-15
0.26,201,0.0011521953857530833,6.340215209296671e-05,1.0755258936898881e-15
0.18,358,0.0004798548542596984,1.949567134456495e-05,1.6160172498688472e-15
0.12,706,0.0001803559277718434,4.1241970831456295e-06,3.27086277702044e-15
0.08,1537,4.670399948059241e-05,1.4321141606502248e-06,6.7227210428956476e-15
